icao;city_icao;country;country_code
CSK8;Surrey (CSK8);Canada;CA
CSL3;Lac-a-la-Tortue (CSL3);Canada;CA
CSL5;St-Victor-De-Beauce (CSL5);Canada;CA
CSL7;Qu'Appelle (CSL7);Canada;CA
CSL9;Baie-Comeau (CSL9);Canada;CA
CSM3;Thetford Mines (CSM3);Canada;CA
CSM4;Ste-Julienne (CSM4);Canada;CA
CSM5;St-Michel-Des-Saints (CSM5);Canada;CA
CSN3;St-Jerome (CSN3);Canada;CA
CSN5;Stanhope (CSN5);Canada;CA
CSN7;Farnham (CSN7);Canada;CA
CSP3;Stony Plain (CSP3);Canada;CA
CSP5;St-Mathias (CSP5);Canada;CA
CSP6;Montreal (CSP6);Canada;CA
CSQ2;Shuswap (Skwlax Field) (CSQ2);Canada;CA
CSQ3;Valcourt (CSQ3);Canada;CA
CSR3;Victoriaville (CSR3);Canada;CA
CSR8;La Sarre (CSR8);Canada;CA
CSS3;Montreal (CSS3);Canada;CA
CSS4;St-Dominique (CSS4);Canada;CA
CST3;Montreal (CST3);Canada;CA
CST7;St-Lambert-De-Lauzon (CST7);Canada;CA
CSU2;Chisasibi (CSU2);Canada;CA
CSU3;St-Hyacinthe (CSU3);Canada;CA
CSU4;Ste-Lucie-De-Beauregard (CSU4);Canada;CA
CSU5;Weymontachie (CSU5);Canada;CA
CSU7;Lac-a-la-Tortue (CSU7);Canada;CA
CSV8;Schomberg (Sloan Valley View Farm Airfield) (CSV8);Canada;CA
CSX3;Richelieu (CSX3);Canada;CA
CSX5;St-Mathias (CSX5);Canada;CA
CSX7;Sexsmith (CSX7);Canada;CA
CSY3;Sorel (CSY3);Canada;CA
CSY4;St-Donat (CSY4);Canada;CA
CSZ3;Mont-Tremblant (CSZ3);Canada;CA
CSZ4;St-Frederic (CSZ4);Canada;CA
CTA3;Ile aux Coudres (CTA3);Canada;CA
CTA4;St-Bruno-de-Guigues (CTA4);Canada;CA
CTB6;Tete-a-la-Baleine (CTB6);Canada;CA
CTE5;Lac a la Perchaude (CTE5);Canada;CA
CTF3;Causapscal (CTF3);Canada;CA
CTF4;Dundalk (Tripp Field) (CTF4);Canada;CA
CTG3;Du Rocher-Perce (CTG3);Canada;CA
CTH2;Thor Lake (CTH2);Canada;CA
CTH3;Grandes-Bergeronnes (CTH3);Canada;CA
CTK2;Senneterre (CTK2);Canada;CA
CTK6;Kegaska (CTK6);Canada;CA
CTK7;Selkirk / Kindy Airstrip (CTK7);Canada;CA
CTN6;Treherne (CTN6);Canada;CA
CTP9;Kattiniq (CTP9);Canada;CA
CTQ2;Stanstead (CTQ2);Canada;CA
CTQ6;St-Anselme (CTQ6);Canada;CA
CTR6;St-Basile (CTR6);Canada;CA
CTT5;La Romaine (CTT5);Canada;CA
CTU2;Fontanges (CTU2);Canada;CA
CTU5;La Tabatiere (CTU5);Canada;CA
CTY4;Olds / North 40 Ranch Airstrip (CTY4);Canada;CA
CTY5;Rougemont (CTY5);Canada;CA
CVB2;Voisey'S Bay (CVB2);Canada;CA
CVF2;Fergus (Vodarek Field) (CVF2);Canada;CA
CVS2;Viking (CVS2);Canada;CA
CWC1;White City (CWC1);Canada;CA
CWF2;Walter'S Falls (Piper Way) Airfield (CWF2);Canada;CA
CWJC;Ennadai (CWJC);Canada;CA
CYAB;Arctic Bay (CYAB);Canada;CA
CYAC;Cat Lake (CYAC);Canada;CA
CYAD;La Grande-3 (CYAD);Canada;CA
CYAG;Fort Frances (CYAG);Canada;CA
CYAH;La Grande-4 (CYAH);Canada;CA
CYAL;Alert Bay (CYAL);Canada;CA
CYAQ;Kasabonika (CYAQ);Canada;CA
CYAS;Kangirsuk (CYAS);Canada;CA
CYAT;Attawapiskat (CYAT);Canada;CA
CYAU;Liverpool (CYAU);Canada;CA
CYAV;Winnipeg (CYAV);Canada;CA
CYAW;Halifax (CYAW);Canada;CA
CYAX;Lac Du Bonnet (CYAX);Canada;CA
CYAY;St. Anthony (CYAY);Canada;CA
CYBA;Banff (CYBA);Canada;CA
CYBB;Kugaaruk (CYBB);Canada;CA
CYBC;Baie-Comeau (CYBC);Canada;CA
CYBE;Uranium City (CYBE);Canada;CA
CYBF;Bonnyville (CYBF);Canada;CA
CYBG;Bagotville (CYBG);Canada;CA
CYBK;Baker Lake (CYBK);Canada;CA
CYBL;Campbell River (CYBL);Canada;CA
CYBP;Brooks (CYBP);Canada;CA
CYBQ;Tadoule Lake (CYBQ);Canada;CA
CYBR;Brandon (CYBR);Canada;CA
CYBT;Brochet (CYBT);Canada;CA
CYBU;Nipawin (CYBU);Canada;CA
CYBV;Berens River (CYBV);Canada;CA
CYBW;Calgary (CYBW);Canada;CA
CYBX;Lourdes-De-Blanc-Sablon (CYBX);Canada;CA
CYCA;Cartwright (CYCA);Canada;CA
CYCB;Cambridge Bay (CYCB);Canada;CA
CYCC;Cornwall (CYCC);Canada;CA
CYCE;Centralia (CYCE);Canada;CA
CYCG;Castlegar (CYCG);Canada;CA
CYCH;Miramichi (CYCH);Canada;CA
CYCK;Chatham-Kent (CYCK);Canada;CA
CYCL;Charlo (CYCL);Canada;CA
CYCN;Cochrane (CYCN);Canada;CA
CYCO;Kugluktuk (CYCO);Canada;CA
CYCP;Blue River (CYCP);Canada;CA
CYCQ;Chetwynd (CYCQ);Canada;CA
CYCR;Cross Lake (CYCR);Canada;CA
CYCS;Chesterfield Inlet (CYCS);Canada;CA
CYCT;Coronation (CYCT);Canada;CA
CYCW;Chilliwack (CYCW);Canada;CA
CYCY;Clyde River (CYCY);Canada;CA
CYCZ;Fairmont Hot Springs (CYCZ);Canada;CA
CYDC;Town of Princeton (CYDC);Canada;CA
CYDF;Deer Lake (CYDF);Canada;CA
CYDN;Dauphin (CYDN);Canada;CA
CYDO;Dolbeau-St-Felicien (CYDO);Canada;CA
CYDP;Nain (CYDP);Canada;CA
CYDQ;Dawson Creek (CYDQ);Canada;CA
CYEA;Empress (CYEA);Canada;CA
CYEE;Midland (CYEE);Canada;CA
CYEG;Edmonton (CYEG);Canada;CA
CYEK;Arviat (CYEK);Canada;CA
CYEL;Elliot Lake (CYEL);Canada;CA
CYEM;Manitowaning (CYEM);Canada;CA
CYEN;Estevan (CYEN);Canada;CA
CYER;Fort Severn (CYER);Canada;CA
CYES;Edmundston (CYES);Canada;CA
CYET;Edson (CYET);Canada;CA
CYEU;Eureka (CYEU);Canada;CA
CYEV;Inuvik (CYEV);Canada;CA
CYFA;Fort Albany (CYFA);Canada;CA
CYFB;Iqaluit (CYFB);Canada;CA
CYFC;Fredericton (CYFC);Canada;CA
CYFD;Brantford (CYFD);Canada;CA
CYFE;Forestville (CYFE);Canada;CA
CYFH;Fort Hope (CYFH);Canada;CA
CYFJ;Riviere Rouge (CYFJ);Canada;CA
CYFO;Flin Flon (CYFO);Canada;CA
CYFR;Fort Resolution (CYFR);Canada;CA
CYFS;Fort Simpson (CYFS);Canada;CA
CYFT;Makkovik (CYFT);Canada;CA
CYGB;Texada (CYGB);Canada;CA
CYGD;Goderich (CYGD);Canada;CA
CYGE;Golden (CYGE);Canada;CA
CYGH;Fort Good Hope (CYGH);Canada;CA
CYGK;Kingston (CYGK);Canada;CA
CYGL;La Grande Riviere (CYGL);Canada;CA
CYGM;Gimli (CYGM);Canada;CA
CYGO;Gods Lake Narrows (CYGO);Canada;CA
CYGP;Gaspe (CYGP);Canada;CA
CYGQ;Geraldton (CYGQ);Canada;CA
CYGR;Iles-de-la-Madeleine (CYGR);Canada;CA
CYGT;Igloolik (CYGT);Canada;CA
CYGV;Havre St-Pierre (CYGV);Canada;CA
CYGW;Kuujjuarapik (CYGW);Canada;CA
CYGX;Gillam (CYGX);Canada;CA
CYGZ;Grise Fiord (CYGZ);Canada;CA
CYHA;Quaqtaq (CYHA);Canada;CA
CYHB;Hudson Bay (CYHB);Canada;CA
CYHD;Dryden (CYHD);Canada;CA
CYHE;Hope (CYHE);Canada;CA
CYHF;Hearst (CYHF);Canada;CA
CYHH;Nemiscau (CYHH);Canada;CA
CYHI;Ulukhaktok (CYHI);Canada;CA
CYHK;Gjoa Haven (CYHK);Canada;CA
CYHM;Hamilton (CYHM);Canada;CA
CYHN;Hornepayne (CYHN);Canada;CA
CYHO;Hopedale (CYHO);Canada;CA
CYHR;Chevery (CYHR);Canada;CA
CYHS;Hanover (CYHS);Canada;CA
CYHU;Montreal (CYHU);Canada;CA
CYHY;Hay River (CYHY);Canada;CA
CYHZ;Halifax (CYHZ);Canada;CA
CYID;Digby (CYID);Canada;CA
CYIF;St-Augustin (CYIF);Canada;CA
CYIK;Ivujivik (CYIK);Canada;CA
CYIO;Pond Inlet (CYIO);Canada;CA
CYIV;Island Lake (CYIV);Canada;CA
CYJA;Jasper (CYJA);Canada;CA
CYJF;Fort Liard (CYJF);Canada;CA
CYJM;Fort St. James (CYJM);Canada;CA
CYJP;Fort Providence (CYJP);Canada;CA
CYJQ;Bella Bella (CYJQ);Canada;CA
CYJT;Stephenville (CYJT);Canada;CA
CYKA;Kamloops (CYKA);Canada;CA
CYKC;Collins Bay (CYKC);Canada;CA
CYKF;Kitchener (CYKF);Canada;CA
CYKG;Kangiqsujuaq (CYKG);Canada;CA
CYKJ;Key Lake (CYKJ);Canada;CA
CYKL;Schefferville (CYKL);Canada;CA
CYKO;Akulivik (CYKO);Canada;CA
CYKQ;Waskaganish (CYKQ);Canada;CA
CYKX;Kirkland Lake (CYKX);Canada;CA
CYKY;Kindersley (CYKY);Canada;CA
CYKZ;Toronto (CYKZ);Canada;CA
CYLA;Aupaluk (CYLA);Canada;CA
CYLB;Lac La Biche (CYLB);Canada;CA
CYLC;Kimmirut (CYLC);Canada;CA
CYLD;Chapleau (CYLD);Canada;CA
CYLH;Lansdowne House (CYLH);Canada;CA
CYLI;Lillooet (CYLI);Canada;CA
CYLJ;Meadow Lake (CYLJ);Canada;CA
CYLK;Lutselk'e (CYLK);Canada;CA
CYLL;Lloydminster (CYLL);Canada;CA
CYLQ;La Tuque (CYLQ);Canada;CA
CYLR;Leaf Rapids (CYLR);Canada;CA
CYLT;Alert (CYLT);Canada;CA
CYLU;Kangiqsualujjuaq (CYLU);Canada;CA
CYLW;Kelowna (CYLW);Canada;CA
CYMA;Mayo (CYMA);Canada;CA
CYME;Matane (CYME);Canada;CA
CYMG;Manitouwadge (CYMG);Canada;CA
CYMH;Mary's Harbour (CYMH);Canada;CA
CYMJ;Moose Jaw (CYMJ);Canada;CA
CYML;Charlevoix (CYML);Canada;CA
CYMM;Fort McMurray (CYMM);Canada;CA
CYMO;Moosonee (CYMO);Canada;CA
CYMT;Chibougamau (CYMT);Canada;CA
CYMU;Umiujaq (CYMU);Canada;CA
CYMW;Maniwaki (CYMW);Canada;CA
CYMX;Montreal (CYMX);Canada;CA
CYMY;Ear Falls (CYMY);Canada;CA
CYNA;Natashquan (CYNA);Canada;CA
CYNC;Wemindji (CYNC);Canada;CA
CYNE;Norway House (CYNE);Canada;CA
CYNH;Hudson's Hope (CYNH);Canada;CA
CYNJ;Langley (CYNJ);Canada;CA
CYNL;Points North Landing (CYNL);Canada;CA
CYNM;Matagami (CYNM);Canada;CA
CYNN;Nejanilini Lake (CYNN);Canada;CA
CYNR;Fort Mackay (CYNR);Canada;CA
CYOA;Ekati (CYOA);Canada;CA
CYOD;Cold Lake (CYOD);Canada;CA
CYOH;Oxford House (CYOH);Canada;CA
CYOJ;High Level (CYOJ);Canada;CA
CYOP;Rainbow Lake (CYOP);Canada;CA
CYOW;Ottawa (CYOW);Canada;CA
CYPA;Prince Albert (CYPA);Canada;CA
CYPC;Paulatuk (CYPC);Canada;CA
CYPD;Port Hawkesbury (CYPD);Canada;CA
CYPE;Peace River (CYPE);Canada;CA
CYPH;Inukjuak (CYPH);Canada;CA
CYPK;Pitt Meadows (CYPK);Canada;CA
CYPL;Pickle Lake (CYPL);Canada;CA
CYPM;Pikangikum (CYPM);Canada;CA
CYPN;Port-Menier (CYPN);Canada;CA
CYPO;Peawanuck (CYPO);Canada;CA
CYPP;Parent (CYPP);Canada;CA
CYPS;Pemberton (CYPS);Canada;CA
CYPX;Puvirnituq (CYPX);Canada;CA
CYPY;Fort Chipewyan (CYPY);Canada;CA
CYQB;Quebec (CYQB);Canada;CA
CYQD;The Pas (CYQD);Canada;CA
CYQF;Red Deer (CYQF);Canada;CA
CYQG;Windsor (CYQG);Canada;CA
CYQK;Kenora (CYQK);Canada;CA
CYQL;Lethbridge (CYQL);Canada;CA
CYQM;Moncton (CYQM);Canada;CA
CYQN;Nakina (CYQN);Canada;CA
CYQQ;Comox (CYQQ);Canada;CA
CYQR;Regina (CYQR);Canada;CA
CYQU;Grande Prairie (CYQU);Canada;CA
CYQV;Yorkton (CYQV);Canada;CA
CYQW;North Battleford (CYQW);Canada;CA
CYQX;Gander (CYQX);Canada;CA
CYQY;Sydney (CYQY);Canada;CA
CYQZ;Quesnel (CYQZ);Canada;CA
CYRA;Gameti (CYRA);Canada;CA
CYRB;Resolute Bay (CYRB);Canada;CA
CYRC;Chicoutimi (CYRC);Canada;CA
CYRJ;Roberval (CYRJ);Canada;CA
CYRL;Red Lake (CYRL);Canada;CA
CYRM;Rocky Mountain House (CYRM);Canada;CA
CYRS;Red Sucker Lake (CYRS);Canada;CA
CYRT;Rankin Inlet (CYRT);Canada;CA
CYRV;Revelstoke (CYRV);Canada;CA
CYSA;Stratford (CYSA);Canada;CA
CYSE;Squamish (CYSE);Canada;CA
CYSF;Stony Rapids (CYSF);Canada;CA
CYSK;Sanikiluaq (CYSK);Canada;CA
CYSM;Fort Smith (CYSM);Canada;CA
CYSP;Marathon (CYSP);Canada;CA
CYST;St. Theresa Point (CYST);Canada;CA
CYSW;Sparwood (CYSW);Canada;CA
CYSY;Sachs Harbour (CYSY);Canada;CA
CYSZ;Ste-Anne-Des-Monts (CYSZ);Canada;CA
CYTB;Tillsonburg (CYTB);Canada;CA
CYTE;Cape Dorset (CYTE);Canada;CA
CYTF;Alma (CYTF);Canada;CA
CYTH;Thompson (CYTH);Canada;CA
CYTL;Big Trout Lake (CYTL);Canada;CA
CYTN;Trenton (CYTN);Canada;CA
CYTQ;Tasiujaq (CYTQ);Canada;CA
CYUB;Tuktoyaktuk (CYUB);Canada;CA
CYUL;Montreal (CYUL);Canada;CA
CYUT;Repulse Bay (CYUT);Canada;CA
CYUX;Hall Beach (CYUX);Canada;CA
CYVB;Bonaventure (CYVB);Canada;CA
CYVC;La Ronge (CYVC);Canada;CA
CYVD;Virden (CYVD);Canada;CA
CYVG;Vermilion (CYVG);Canada;CA
CYVK;Vernon (CYVK);Canada;CA
CYVM;Qikiqtarjuaq (CYVM);Canada;CA
CYVP;Kuujjuaq (CYVP);Canada;CA
CYVQ;Norman Wells (CYVQ);Canada;CA
CYVT;Buffalo Narrows (CYVT);Canada;CA
CYVZ;Deer Lake (CYVZ);Canada;CA
CYWA;Petawawa (CYWA);Canada;CA
CYWE;Wekweeti (CYWE);Canada;CA
CYWG;Winnipeg (CYWG);Canada;CA
CYWJ;Deline (CYWJ);Canada;CA
CYWK;Wabush (CYWK);Canada;CA
CYWL;Williams Lake (CYWL);Canada;CA
CYWM;Athabasca (CYWM);Canada;CA
CYWP;Webequie (CYWP);Canada;CA
CYWV;Wainwright (CYWV);Canada;CA
CYWY;Wrigley (CYWY);Canada;CA
CYXC;Cranbrook (CYXC);Canada;CA
CYXD;Edmonton (CYXD);Canada;CA
CYXE;Saskatoon (CYXE);Canada;CA
CYXH;Medicine Hat (CYXH);Canada;CA
CYXJ;Fort St.John (CYXJ);Canada;CA
CYXK;Rimouski (CYXK);Canada;CA
CYXL;Sioux Lookout (CYXL);Canada;CA
CYXN;Whale Cove (CYXN);Canada;CA
CYXP;Pangnirtung (CYXP);Canada;CA
CYXR;Earlton (CYXR);Canada;CA
CYXS;Prince George (CYXS);Canada;CA
CYXU;London (CYXU);Canada;CA
CYXX;Abbotsford (CYXX);Canada;CA
CYXZ;Wawa (CYXZ);Canada;CA
CYYC;Calgary (CYYC);Canada;CA
CYYE;Fort Nelson (CYYE);Canada;CA
CYYG;Charlottetown (CYYG);Canada;CA
CYYH;Taloyoak (CYYH);Canada;CA
CYYJ;Victoria (CYYJ);Canada;CA
CYYL;Lynn Lake (CYYL);Canada;CA
CYYM;Cowley (CYYM);Canada;CA
CYYN;Swift Current (CYYN);Canada;CA
CYYO;Wynyard (CYYO);Canada;CA
CYYQ;Churchill (CYYQ);Canada;CA
CYYR;Goose Bay (CYYR);Canada;CA
CYYT;St. John's (CYYT);Canada;CA
CYYU;Kapuskasing (CYYU);Canada;CA
CYYW;Armstrong (CYYW);Canada;CA
CYYY;Mont-Joli (CYYY);Canada;CA
CYYZ;Toronto (CYYZ);Canada;CA
CYZD;Toronto (CYZD);Canada;CA
CYZE;Gore Bay (CYZE);Canada;CA
CYZF;Yellowknife (CYZF);Canada;CA
CYZG;Salluit (CYZG);Canada;CA
CYZH;Slave Lake (CYZH);Canada;CA
CYZS;Coral Harbour (CYZS);Canada;CA
CYZU;Whitecourt (CYZU);Canada;CA
CYZV;Sept-Iles (CYZV);Canada;CA
CYZX;Greenwood (CYZX);Canada;CA
CYZY;Mackenzie (CYZY);Canada;CA
CZAC;York Landing (CZAC);Canada;CA
CZAM;Salmon Arm (CZAM);Canada;CA
CZBA;Burlington (CZBA);Canada;CA
CZBD;Ilford (CZBD);Canada;CA
CZBF;Bathurst (CZBF);Canada;CA
CZBM;Bromont (CZBM);Canada;CA
CZEE;Kelsey (CZEE);Canada;CA
CZEM;Eastmain River (CZEM);Canada;CA
CZFA;Faro (CZFA);Canada;CA
CZFD;Fond-Du-Lac (CZFD);Canada;CA
CZFG;Pukatawagan (CZFG);Canada;CA
CZFM;Fort Mcpherson (CZFM);Canada;CA
CZFN;Tulita (CZFN);Canada;CA
CZGF;Grand Forks (CZGF);Canada;CA
CZGI;Gods River (CZGI);Canada;CA
CZGR;Little Grand Rapids (CZGR);Canada;CA
CZHP;High Prairie (CZHP);Canada;CA
CZJG;Jenpeg (CZJG);Canada;CA
CZJN;Swan River (CZJN);Canada;CA
CZKE;Kashechewan (CZKE);Canada;CA
CZLQ;Thicket Portage (CZLQ);Canada;CA
CZMD;Muskrat Dam (CZMD);Canada;CA
CZML;108 Mile (CZML);Canada;CA
CZMN;Pikwitonei (CZMN);Canada;CA
CZMT;Masset (CZMT);Canada;CA
CZNG;Poplar River (CZNG);Canada;CA
CZNL;Nelson (CZNL);Canada;CA
CZPB;Sachigo Lake (CZPB);Canada;CA
CZPO;Pinehouse Lake (CZPO);Canada;CA
CZRJ;Round Lake (CZRJ);Canada;CA
CZSJ;Sandy Lake (CZSJ);Canada;CA
CZSN;South Indian Lake (CZSN);Canada;CA
CZTA;Bloodvein River (CZTA);Canada;CA
CZTM;Shamattawa (CZTM);Canada;CA
CZUC;Ignace (CZUC);Canada;CA
CZUM;Churchill Falls (CZUM);Canada;CA
CZVL;Edmonton (CZVL);Canada;CA
CZWH;Lac Brochet (CZWH);Canada;CA
CZWL;Wollaston Lake (CZWL);Canada;CA
GVAC;Espargos (GVAC);Cape Verde;CV
GVAN;Ponta do Sol (GVAN);Cape Verde;CV
GVBA;Rabil (GVBA);Cape Verde;CV
GVBR;Brava Island (GVBR);Cape Verde;CV
GVMA;Vila do Maio (GVMA);Cape Verde;CV
GVMT;Vila do Mosteiros (GVMT);Cape Verde;CV
GVNP;Praia (GVNP);Cape Verde;CV
GVSF;Sao Filipe (GVSF);Cape Verde;CV
GVSN;Preguica (GVSN);Cape Verde;CV
GVSV;Sao Pedro (GVSV);Cape Verde;CV
MWCB;Cayman Brac (MWCB);Cayman;KY
MWCL;Little Cayman (MWCL);Cayman;KY
MWCR;Georgetown (MWCR);Cayman;KY
FEFA;Alindao (FEFA);Central African Republic;CF
FEFB;Obo (FEFB);Central African Republic;CF
FEFC;Carnot (FEFC);Central African Republic;CF
FEFD;Damara (FEFD);Central African Republic;CF
FEFE;Mobaye Mbanga (FEFE);Central African Republic;CF
FEFF;Bangui (FEFF);Central African Republic;CF
FEFG;Bangassou (FEFG);Central African Republic;CF
FEFI;Birao (FEFI);Central African Republic;CF
FEFK;Kembe (FEFK);Central African Republic;CF
FEFM;Bambari (FEFM);Central African Republic;CF
FEFN;N'Dele (FEFN);Central African Republic;CF
FEFO;Bouar (FEFO);Central African Republic;CF
FEFP;Paoua (FEFP);Central African Republic;CF
FEFQ;Kaga-Bandoro (FEFQ);Central African Republic;CF
FEFR;Bria (FEFR);Central African Republic;CF
FEFS;Bossangoa (FEFS);Central African Republic;CF
FEFT;Berberati (FEFT);Central African Republic;CF
FEFU;Sibut (FEFU);Central African Republic;CF
FEFW;Ouadda (FEFW);Central African Republic;CF
FEFY;Yalinga (FEFY);Central African Republic;CF
FEFZ;Zemio (FEFZ);Central African Republic;CF
FEGB;Bambouli (FEGB);Central African Republic;CF
FEGC;Bocaranga (FEGC);Central African Republic;CF
FEGD;Dekoa (FEGD);Central African Republic;CF
FEGE;Mboki (FEGE);Central African Republic;CF
FEGF;Batangafo (FEGF);Central African Republic;CF
FEGG;Gamboula (FEGG);Central African Republic;CF
FEGI;Grimari (FEGI);Central African Republic;CF
FEGL;Melle (FEGL);Central African Republic;CF
FEGM;Bakouma (FEGM);Central African Republic;CF
FEGO;Ouanda Djalle (FEGO);Central African Republic;CF
FEGR;Rafai (FEGR);Central African Republic;CF
FEGU;Bouca (FEGU);Central African Republic;CF
FEGZ;Bozoum (FEGZ);Central African Republic;CF
FTTA;Sarh (FTTA);Chad;TD
FTTB;Bongor (FTTB);Chad;TD
FTTC;Abeche (FTTC);Chad;TD
FTTD;Moundou (FTTD);Chad;TD
FTTE;Biltine (FTTE);Chad;TD
FTTF;Fada (FTTF);Chad;TD
FTTG;Goz-Beida (FTTG);Chad;TD
FTTH;Lai (FTTH);Chad;TD
FTTI;Ati (FTTI);Chad;TD
FTTJ;N'Djamena (FTTJ);Chad;TD
FTTK;Bokoro (FTTK);Chad;TD
FTTL;Bol (FTTL);Chad;TD
FTTM;Mongo (FTTM);Chad;TD
FTTN;Am Timan (FTTN);Chad;TD
FTTP;Pala (FTTP);Chad;TD
FTTR;Zouar (FTTR);Chad;TD
FTTS;Bousso (FTTS);Chad;TD
FTTU;Mao (FTTU);Chad;TD
FTTY;Faya-Largeau (FTTY);Chad;TD
FTTZ;Bardai Zougra (FTTZ);Chad;TD
FJDG;Diego Garcia (FJDG);Chagos;IO
SC1A;Canchones (SC1A);Chile;CL
SCAA;Frutillar (SCAA);Chile;CL
SCAB;La Lumbrera (SCAB);Chile;CL
SCAC;Ancud (SCAC);Chile;CL
SCAD;Ovalle (SCAD);Chile;CL
SCAE;Arica (SCAE);Chile;CL
SCAF;Alhue (SCAF);Chile;CL
SCAG;Palmilla (SCAG);Chile;CL
SCAH;Achao (SCAH);Chile;CL
SCAJ;Retiro (SCAJ);Chile;CL
SCAK;Recinto (SCAK);Chile;CL
SCAL;Cochrane (SCAL);Chile;CL
SCAM;Teno (SCAM);Chile;CL
SCAN;Los Andes (SCAN);Chile;CL
SCAO;Lolol (SCAO);Chile;CL
SCAP;Alto Palena (SCAP);Chile;CL
SCAQ;Lago Ranco (SCAQ);Chile;CL
SCAR;Arica (SCAR);Chile;CL
SCAS;Puerto Aysen (SCAS);Chile;CL
SCAT;Copiapo (SCAT);Chile;CL
SCAU;Paine (SCAU);Chile;CL
SCAV;Chillan (SCAV);Chile;CL
SCAY;Ayacara (SCAY);Chile;CL
SCAZ;Timaukel (SCAZ);Chile;CL
SCBA;Balmaceda (SCBA);Chile;CL
SCBB;Negrete (SCBB);Chile;CL
SCBC;Lago Verde (SCBC);Chile;CL
SCBD;Santa Cruz (SCBD);Chile;CL
SCBE;Tocopilla (SCBE);Chile;CL
SCBI;Bahia Inutil (SCBI);Chile;CL
SCBN;Rio Bueno (SCBN);Chile;CL
SCBQ;Santiago (SCBQ);Chile;CL
SCBR;Lago Brown (SCBR);Chile;CL
SCBS;Bahia Posesion (SCBS);Chile;CL
SCBT;Cochamo (SCBT);Chile;CL
SCBU;Molina (SCBU);Chile;CL
SCBV;Rio Claro (SCBV);Chile;CL
SCCA;Cauquenes (SCCA);Chile;CL
SCCB;Combarbala (SCCB);Chile;CL
SCCC;Chile Chico (SCCC);Chile;CL
SCCE;Cauquenes (SCCE);Chile;CL
SCCF;Calama (SCCF);Chile;CL
SCCG;Combarbala (SCCG);Chile;CL
SCCH;Chillan (SCCH);Chile;CL
SCCI;Punta Arenas (SCCI);Chile;CL
SCCK;Contao (SCCK);Chile;CL
SCCL;Caldera (SCCL);Chile;CL
SCCM;Choshuenco (SCCM);Chile;CL
SCCN;Cauquenes (SCCN);Chile;CL
SCCP;Osorno (SCCP);Chile;CL
SCCQ;Coquimbo (SCCQ);Chile;CL
SCCR;Caleta Tortel (SCCR);Chile;CL
SCCS;Casablanca (SCCS);Chile;CL
SCCT;Constitucion (SCCT);Chile;CL
SCCU;Lonquimay (SCCU);Chile;CL
SCCV;Curacavi (SCCV);Chile;CL
SCCY;Coyhaique (SCCY);Chile;CL
SCDA;Iquique (SCDA);Chile;CL
SCDD;Puerto Varas (SCDD);Chile;CL
SCDH;Chaiten (SCDH);Chile;CL
SCDI;Pichidangui (SCDI);Chile;CL
SCDL;Cabildo (SCDL);Chile;CL
SCDM;Duao (SCDM);Chile;CL
SCDQ;Duqueco (SCDQ);Chile;CL
SCDS;Retiro (SCDS);Chile;CL
SCDW;Isla Dawson (SCDW);Chile;CL
SCEA;Chaiten (SCEA);Chile;CL
SCEB;Entrada Baker (SCEB);Chile;CL
SCEC;Estacion Chanaral (SCEC);Chile;CL
SCED;Sagrada Familia (SCED);Chile;CL
SCEG;Talagante (SCEG);Chile;CL
SCEH;Santa Barbara (SCEH);Chile;CL
SCEK;Chepica (SCEK);Chile;CL
SCEL;Santiago (SCEL);Chile;CL
SCEO;Parral (SCEO);Chile;CL
SCEP;Pirque (SCEP);Chile;CL
SCER;Quintero (SCER);Chile;CL
SCES;El Salvador (SCES);Chile;CL
SCET;San Vicente De Tagua Tagua (SCET);Chile;CL
SCEX;Aysen (SCEX);Chile;CL
SCEY;Entrada Mayer (SCEY);Chile;CL
SCFA;Antofagasta (SCFA);Chile;CL
SCFC;Fachinal (SCFC);Chile;CL
SCFF;Freirina (SCFF);Chile;CL
SCFI;Frutillar (SCFI);Chile;CL
SCFJ;Ovalle (SCFJ);Chile;CL
SCFK;Chillan (SCFK);Chile;CL
SCFL;Casablanca (SCFL);Chile;CL
SCFM;Porvenir (SCFM);Chile;CL
SCFN;Russfin (SCFN);Chile;CL
SCFO;Pelarco (SCFO);Chile;CL
SCFR;Frutillar (SCFR);Chile;CL
SCFS;Chonchi (SCFS);Chile;CL
SCFT;Futaleufu (SCFT);Chile;CL
SCFU;Futrono (SCFU);Chile;CL
SCFX;Isla San Felix (SCFX);Chile;CL
SCGA;La Union (SCGA);Chile;CL
SCGB;Los Sauces (SCGB);Chile;CL
SCGE;Los Angeles (SCGE);Chile;CL
SCGF;Futrono (SCGF);Chile;CL
SCGH;Los Angeles (SCGH);Chile;CL
SCGI;Retiro (SCGI);Chile;CL
SCGL;Rapel (SCGL);Chile;CL
SCGM;Rengo (SCGM);Chile;CL
SCGN;Chaiten (SCGN);Chile;CL
SCGO;Angol (SCGO);Chile;CL
SCGP;Panguipulli (SCGP);Chile;CL
SCGS;Cholguan (SCGS);Chile;CL
SCGU;Antofagasta (SCGU);Chile;CL
SCGV;Caleta Chanaral De Aceituno (SCGV);Chile;CL
SCGY;Cunco (SCGY);Chile;CL
SCGZ;Puerto Williams (SCGZ);Chile;CL
SCHA;Copiapo (SCHA);Chile;CL
SCHC;Santiago (SCHC);Chile;CL
SCHD;Chaiten (SCHD);Chile;CL
