icao;city_icao;country;country_code
FNUE;Luena (FNUE);Angola;AO
FNUG;Uige (FNUG);Angola;AO
FNWK;Waco Kungo (FNWK);Angola;AO
FNXA;Xangongo (FNXA);Angola;AO
FNZE;N'zeto (FNZE);Angola;AO
FNZG;Nzagi (FNZG);Angola;AO
TQPF;The Valley (TQPF);Anguilla;AI
AAXX;Rothera Point (AAXX);Antarctica;AQ
EGAH;Halley Research Station (EGAH);Antarctica;AQ
EGAR;Rothera Research Station (EGAR);Antarctica;AQ
NZ12;Palmer Station (NZ12);Antarctica;AQ
NZIR;McMurdo Station (NZIR);Antarctica;AQ
NZPG;McMurdo Station (NZPG);Antarctica;AQ
NZSP;South Pole Station (NZSP);Antarctica;AQ
NZWD;McMurdo Station (NZWD);Antarctica;AQ
SAWB;Seymour Island (SAWB);Antarctica;AQ
SAWZ;Matienzo Base (SAWZ);Antarctica;AQ
SAYB;Base Belgrano Ii (SAYB);Antarctica;AQ
SAYE;Hope Bay (SAYE);Antarctica;AQ
SAYJ;South Shetland Archipielago- King George Island (SAYJ);Antarctica;AQ
SAYO;Laurie Island (SAYO);Antarctica;AQ
SAYS;San Martin Base (SAYS);Antarctica;AQ
SCBO;General Bernardo O'Higgins Base (SCBO);Antarctica;AQ
SCGC;Antartica (SCGC);Antarctica;AQ
SCPZ;Antartica (SCPZ);Antarctica;AQ
SCRM;Isla Rey Jorge (SCRM);Antarctica;AQ
YWKS;Wilkins Runway (YWKS);Antarctica;AQ
TAPA;St. George (TAPA);Antigua;AG
TAPH;Codrington (TAPH);Antigua;AG
TAPT;Coco Point (TAPT);Antigua;AG
NSAU;Asau (NSAU);Apia;WS
NSFA;Apia (NSFA);Apia;WS
NSFI;Apia (NSFI);Apia;WS
NSMA;Maota (NSMA);Apia;WS
SA01;Cachi (SA01);Argentina;AR
SA02;Cafayate (SA02);Argentina;AR
SA03;Villa Minetti (SA03);Argentina;AR
SA05;Bell Ville (SA05);Argentina;AR
SA06;Saladillo (SA06);Argentina;AR
SA07;Buta Ranquil (SA07);Argentina;AR
SA10;Presidencia Roca (SA10);Argentina;AR
SA11;Campo Arenal (SA11);Argentina;AR
SA12;Quemu Quemu (SA12);Argentina;AR
SA13;Tandil (SA13);Argentina;AR
