beacon;city;faaId;iata;rwy_num;mag_dec;wmoId;site;runways;name;lat;lid;country;icao;priority;passengers;rwy_len;lon;type;source;state;tz;use;subd;prior;ind;city_icao;country_code;traffic;information;elevation_aerodrome;TOWER_COMMUNICATION;AERODROME_SERVICES;AERODROME_CTR;freqs.RADIO;freqs.ATIS;freqs.DELIVERY/GROUND;freqs.TOWER;freqs.APPROACH;freqs.SAR;freqs.TELEPHONE;freqs.FIC_NAME;freqs.FIC_FREQUENCY;freqs.FIC_NAME_2;freqs.FIC_FREQUENCY_2;url.aviationweather.airport;url.wikipedia;url.website;url.geo;url.wikipedia.aerodrome.image;url.custom_url;metar_station;url.pilot_info;keywords;facility_type;freqs.FIS_NAME;freqs.FIS_FREQUENCY
;Neerpelt;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [51.2119445801, 5.4786109924], 'elevation': 148.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Neerpelt Airport;51.2119445801;;Belgium;EBNE;;;;5.4786109924;;;;Europe/Brussels;private;Flanders;;;Neerpelt (EBNE);BE;;;148.0;False;False;False;;;;;;;;;;;;;;;;;;False;;;;;
;Namur;;;;;;;[{'id': '06/24', 'dimension': '2284x89', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['06', '24'], 'length': 2284, 'width': 89, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['2284 x 89 feet', '696 x 27 meters'], 'slope': None, 'properties': None}, {'id': '06L/24R', 'dimension': '2064x164', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['06L', '24R'], 'length': 2064, 'width': 164, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['2064 x 164 feet', '629 x 50 meters'], 'slope': None, 'properties': None}, {'id': '06R/24L', 'dimension': '2264x82', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['06R', '24L'], 'length': 2264, 'width': 82, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['2264 x 82 feet', '690 x 25 meters'], 'slope': None, 'properties': None}];Namur/Suarlee Airport;50.4879989624;;Belgium;EBNM;;;;4.7689199448;;;;Europe/Brussels;private;Wallonia;;;Namur (EBNM);BE;;;586.0;False;False;False;['118.005'];;;;;;;;;;;;https://en.wikipedia.org/wiki/Namur-Suarlee_Airport;http://www.aerodromedenamur.be/;;;;False;;;;[];[]
;Ninove;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [50.8544006348, 3.9852800369], 'elevation': 151.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Outer Airport;50.8544006348;;Belgium;EBNO;;;;3.9852800369;;;;Europe/Brussels;;Flanders;;;Ninove (EBNO);BE;;;151.0;False;False;False;;;;;;;;;;;;;;;;;;False;;;;;
;Vresse-Sur-Semois;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [49.9071998596, 4.9363899231], 'elevation': 1312.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Orchimont Airport;49.9071998596;;Belgium;EBOR;;;;4.9363899231;;;;Europe/Brussels;private;Wallonia;;;Vresse-Sur-Semois (EBOR);BE;;;1312.0;False;False;False;;;;;;;;;;;;;;;;;;False;;;;;
;Ostend;;OST;1.0;;6407.0;Oostende-Bruges Intl;[{'id': '08/26', 'dimension': '10499x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 08 displaced 985 ft (300 m)', 'lighted': True}, 'alignment': '076', 'number': ['08', '26'], 'length': 10499, 'width': '148', 'TORA': None, 'TODA': None, 'ASDA': '10499', 'LDA': None, '08': {'latlon': [51.20638888888889, 2.861388888888889], 'elevation': '6', 'heading': '076', 'displaced threshold': '984 Feet'}, '26': {'latlon': [51.20388888888889, 2.8969444444444443], 'elevation': '4', 'heading': '256', 'displaced threshold': '1362 Feet'}, 'dimension2': ['10499 x 148 feet', '3200 x 45 meters'], 'slope': 0, 'properties': None}, {'id': '14/32', 'dimension': '2057x148', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['14', '32'], 'length': 2057, 'width': 148, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['2057 x 148 feet', '627 x 45 meters'], 'slope': None, 'properties': None}];Oostende-Bruges International;51.1991;;Belgium;EBOS;4.0;0.0;L;2.8673;ARP;Intl;VH;Europe/Brussels;public;Flanders;0.0;644.0;Ostend (EBOS);BE;;;13.0;True;True;True;;['126.130'];['121.980'];['118.180'];['120.600'];;;;;;;https://aviationweather.gov/api/data/airport?ids=EBOS&format=json;https://en.wikipedia.org/wiki/Ostend–Bruges_International_Airport;http://www.ost.aero/;https://geohack.toolforge.org/geohack.php?pagename=Ostend%E2%80%93Bruges_International_Airport&params=51_11_56_N_002_51_44_E_region:BE-VWV_type:airport;https://upload.wikimedia.org/wikipedia/commons/e/ee/OSTEND_AIRPORT_EBOS_FROM_A_RYANAIR_BOEING_737-800_EIDYX_AT_32000_NOV_2011_%286333897725%29.jpg;;True;;;;[];[]
;Saint Ghislain;;;;;;;[{'id': '09/27', 'dimension': '2296x75', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['09', '27'], 'length': 2100, 'width': 75, 'TORA': None, 'TODA': None, 'ASDA': '2100', 'LDA': None, '09': {'latlon': [50.4575004578, 3.8202800751], 'elevation': 75.0, 'heading': '09', 'displaced threshold': None}, '27': {'latlon': [50.4575004578, 3.8202800751], 'elevation': 75.0, 'heading': '27', 'displaced threshold': None}, 'slope': 0, 'properties': None, 'dimension2': ['2296 x 75 feet', '700 x 23 meters']}];Saint-Ghislain Airport;50.4575004578;;Belgium;EBSG;;;;3.8202800751;;;;Europe/Brussels;private;Wallonia;;;Saint Ghislain (EBSG);BE;;;75.0;False;False;False;;;;;;;;;;;;;https://en.wikipedia.org/wiki/Saint-Ghislain_Airfield;https://ebsg.aero;https://geohack.toolforge.org/geohack.php?pagename=Saint-Ghislain_Airfield&params=50_27_27_N_003_49_13_E_region:BE-WHT_type:airport;;;False;;;;[];[]
;Saint Hubert;;;;;;;[{'id': '05/23', 'dimension': '1969x623', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['05', '23'], 'length': 1969, 'width': 623, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['1969 x 623 feet', '600 x 190 meters'], 'slope': None, 'properties': None}, {'id': '14/32', 'dimension': '2621x492', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['14', '32'], 'length': 2621, 'width': 492, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['2621 x 492 feet', '799 x 150 meters'], 'slope': None, 'properties': None}];St Hubert Airport;50.035900116;;Belgium;EBSH;;;;5.404250145;;;;Europe/Brussels;private;Wallonia;;;Saint Hubert (EBSH);BE;;;1930.0;False;False;False;['122.175'];;;;;;;;;;;;https://en.wikipedia.org/wiki/Saint-Hubert_Airfield;http://www.sainthubert-airport.com/;;;;False;;;;[];[]
;Zutendaal;;;;;;;[{'id': '06/24', 'dimension': '9777x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['06', '24'], 'length': 9777, 'width': 148, 'TORA': None, 'TODA': None, 'ASDA': '9777', 'LDA': None, '06': {'latlon': [50.9474983215, 5.5905599594], 'elevation': 312.0, 'heading': '06', 'displaced threshold': None}, '24': {'latlon': [50.9474983215, 5.5905599594], 'elevation': 312.0, 'heading': '24', 'displaced threshold': None}, 'slope': 0, 'properties': 'Asphalt/Concrete', 'dimension2': ['9777 x 148 feet', '2980 x 45 meters']}];Zutendaal Air Base;50.9474983215;;Belgium;EBSL;;;;5.5905599594;;;;Europe/Brussels;private;Flanders;;;Zutendaal (EBSL);BE;;;312.0;False;False;False;;;;;;;;;;;;;https://en.wikipedia.org/wiki/Zutendaal_Air_Base;[];https://geohack.toolforge.org/geohack.php?pagename=Zutendaal_Air_Base&params=50_56_51_N_005_35_26_E_region:BE-VEI_type:airport;;;False;;;;;
;Spa;;;;;6490.0;Spa/La Sauveniere;[{'id': '05/23', 'dimension': '2621x98', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 05 displaced 272 ft (83 m)', 'lighted': False}, 'alignment': None, 'number': ['05', '23'], 'length': 2621, 'width': 98, 'TORA': None, 'TODA': None, 'ASDA': '2621', 'LDA': None, '05': {'latlon': [50.4824981689, 5.910299778], 'elevation': 1581.0, 'heading': '05', 'displaced threshold': None}, '23': {'latlon': [50.4824981689, 5.910299778], 'elevation': 1581.0, 'heading': '23', 'displaced threshold': None}, 'slope': 0, 'properties': None, 'dimension2': ['2621 x 98 feet', '799 x 30 meters']}];Spa (La Sauveniere) Airport;50.4824981689;;Belgium;EBSP;9.0;;;5.910299778;;;WL;Europe/Brussels;private;Wallonia;;;Spa (EBSP);BE;;;2.0;False;False;False;;;;;;;;;;;;;https://en.wikipedia.org/wiki/Spa-La_Sauvenière_Airfield;[];https://geohack.toolforge.org/geohack.php?pagename=Spa-La_Sauveni%C3%A8re_Airfield&params=50_28_57_N_005_54_37_E_region:BE-WLG_type:airport;https://upload.wikimedia.org/wikipedia/commons/0/02/A%C3%A9rodrome_Spa-La_Sauveni%C3%A8re_01.jpg;;False;;;;[];[]
;Sint Truiden;;;;;;St Truiden(BAFB);[{'id': '06/24', 'dimension': '3597x164', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['06', '24'], 'length': 3597, 'width': 164, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['3597 x 164 feet', '1096 x 50 meters'], 'slope': None, 'properties': None}];Sint Truiden Airport;50.7919006348;;Belgium;EBST;9.0;;;5.2016701698;;;VL;Europe/Brussels;private;Flanders;;;Sint Truiden (EBST);BE;;;246.0;False;False;False;['119.980'];;;;;;;;;;;;https://en.wikipedia.org/wiki/Sint-Truiden_/_Brustem_Airfield;http://www.ebst.aero/;;;;False;;;;[];[]
